"id";"subject";"isbn";"author";"title";"volume";"publisher";"price"
1;"INGLESE";9780194648868;"WETZ BEN";"ENGLISH PLUS INTERMEDIATE : MISTO SPECIAL EC + SB&WB + MDB & ESP ONLINE";"unico";"OXFORD UNIVERSITY PRESS";26.6
2;"INGLESE";9780521697972;"HASHEMI LOUISE THOMAS BARBARA";"ALL IN ONE GRAMMAR";"unico";"CAMBRIDGE UNIVERSITY PRESS";27.2
3;"INGLESE";9780521732680;"HASHEMI LUOISE THOMAS BARBARA";"OBJECTIVE PET SECOND EDITION STUDENT'S BOOK WITH CD-ROM";"unico";"CAMBRIDGE UNIVERSITY PRESS";25.35
4;"INGLESE";9780521732703;"HASHEMI LUOISE THOMAS BARBARA";"OBJECTIVE PET SECOND EDITION WORKBOOK";"unico";"CAMBRIDGE UNIVERSITY PRESS";11.8
5;"INGLESE DIZIONARI";9781405851374;"AA VV";"LONGMAN EXAMS DICTIONARY PAPER AND CD-ROM UPDATE";"unico";"PEARSON LONGMAN";33.8
6;"ITALIANO";9788800208246;"ALIGHIERI DANTE";"DIVINA COMMEDIA - INFERNO VOLUME + QUADERNO";"primo";"LE MONNIER";21
7;"LATINO";9788800209762;"CONTE GIAN BIAGIO PIANEZZOLA EMILIO";"LEZIONI DI LETTERATURA LATINA - 1 L'ETA' ARCAICA E REPUBBLICANA";"primo";"LE MONNIER";30.1
8;"FISICA";9788800219044;"CAFORIO ANTONIO FERILLI ALDO";"FISICA !  + DVD ROM VOL 1 LE LEGGI DELLA NATURA";"primo";"LE MONNIER";22.5
9;"LATINO";9788800222433;"CONTI MARCO";"VARIA VERTERE VOLUME UNICO + QUADERNO PER LO STUDENTE + ME BOOK + CONTENUTI DIGITALI INTEG";"unico";"LE MONNIER";20.8
10;"ITALIANO";9788800412421;"ALIGHIERI D.";"DIVINA COMMEDIA + INFERNO + QUESTIONI,TEMI";"primo";"LE MONNIER";20.3
11;"GRECO";9788800431538;"SORCI ANDREA PIERI ALBERTO CAVALLARO LUCIANA";"ERANOS. TESTI E PERCORSI 1 OMERO E GLI STORICI";"primo";"LE MONNIER";26.9
12;"MATEMATICA";9788800471305;"CATENI L FORTINI R BERNARDI C";"NUOVA GEOMETRIA";"primo";"LE MONNIER";21.1
13;"MATEMATICA";9788800471305;"CATENI L FORTINI R BERNARDI C";"NUOVA GEOMETRIA";"primo";"LE MONNIER";21.1
14;"MATEMATICA";9788800471305;"CATENI L FORTINI R BERNARDI C";"NUOVA GEOMETRIA";"primo";"LE MONNIER";21.1
